,x,y,z
654,8.2e-05,-0.000286,8.2e-05
655,-0.00034,0.001658,-0.00034
656,-0.000812,0.000883,-0.000812
657,0.002682,-0.000394,0.002682
658,-0.002238,-0.000167,-0.002238
659,0.000898,0.000417,0.000898
660,-0.000784,0.000551,-0.000784
661,0.000372,-0.000165,0.000372
662,-0.000574,-0.000552,-0.000574
663,-0.000929,-5.7e-05,-0.000929
664,0.00189,-6.6e-05,0.00189
665,-8e-06,0.000517,-8e-06
666,-0.001154,-6.9e-05,-0.001154
667,0.003455,-6.4e-05,0.003455
668,-0.001995,-0.00063,-0.001995
669,0.00019,8.8e-05,0.00019
670,0.003122,0.000575,0.003122
671,-0.002483,-0.0001,-0.002483
672,0.002693,0.000356,0.002693
673,-0.000511,0.000357,-0.000511
674,-0.001491,-0.000787,-0.001491
675,0.001489,-0.000914,0.001489
676,-1.2e-05,-5.5e-05,-1.2e-05
677,-0.002087,-0.000491,-0.002087
678,-0.000622,0.001148,-0.000622
679,0.002101,-4.1e-05,0.002101
680,-0.001498,-0.000676,-0.001498
681,-0.00247,-0.000285,-0.00247
682,0.004848,-0.000515,0.004848
683,-0.004431,-0.000437,-0.004431
684,-0.000521,-0.000155,-0.000521
685,0.004526,0.000835,0.004526
686,-0.004366,0.000224,-0.004366
687,-0.000569,-0.001466,-0.000569
688,0.004325,0.001859,0.004325
689,-0.002218,-0.00026,-0.002218
690,-0.001128,-0.000456,-0.001128
691,0.002211,0.000218,0.002211
692,-0.002475,-0.002131,-0.002475
693,-0.000637,-2.6e-05,-0.000637
694,-7.9e-05,8.1e-05,-7.9e-05
695,-0.0007,-0.001274,-0.0007
696,-0.000309,-0.000712,-0.000309
697,-0.00185,0.000721,-0.00185
698,0.000876,-0.000315,0.000876
699,0.001261,0.000861,0.001261
700,-0.003031,-0.000557,-0.003031
701,0.000934,0.000207,0.000934
702,0.000649,0.000887,0.000649
703,-0.00159,-0.000153,-0.00159
704,0.001545,-0.000161,0.001545
705,0.000259,0.000863,0.000259
706,-0.001393,0.001097,-0.001393
707,0.000688,-0.0008,0.000688
708,0.000936,0.000289,0.000936
709,-0.002568,0.000819,-0.002568
710,0.001605,0.001392,0.001605
711,0.000102,-0.000879,0.000102
712,9.6e-05,-0.000127,9.6e-05
713,0.001103,-0.000682,0.001103
714,-0.002231,0.000222,-0.002231
715,0.001079,-0.000187,0.001079
716,-0.001226,0.000535,-0.001226
717,-0.00027,0.000432,-0.00027
718,0.000851,0.000976,0.000851
719,-0.001339,-0.000268,-0.001339
720,0.000295,0.001149,0.000295
721,0.001671,0.000788,0.001671
722,-0.001646,-0.000232,-0.001646
723,0.001357,-0.000716,0.001357
724,0.001657,0.000414,0.001657
725,-0.002302,-0.000538,-0.002302
726,0.000857,0.000543,0.000857
727,-9.7e-05,0.000503,-9.7e-05
728,-0.000391,-0.001064,-0.000391
729,-0.000809,0.00109,-0.000809
730,0.002578,0.001356,0.002578
731,-0.001891,-0.000867,-0.001891
732,-8.3e-05,-0.000659,-8.3e-05
733,0.003144,0.001061,0.003144
734,-0.001205,-7.8e-05,-0.001205
735,-0.001406,-0.000307,-0.001406
736,0.001056,0.000213,0.001056
737,-0.00193,-0.000823,-0.00193
738,0.001117,-0.001662,0.001117
739,0.001753,0.000748,0.001753
740,-0.001239,-0.000391,-0.001239
741,4.9e-05,0.000461,4.9e-05
