Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675378105.32077,62,224825,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224825.0,19,T
1675378106.321412,63,224826,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224826.0,19,T
1675378107.3214815,64,224827,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224827.0,19,T
1675378108.3203893,65,224828,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224828.0,19,T
1675378109.320778,66,224829,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224829.0,19,T
1675378110.3215907,67,224830,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224830.0,19,T
1675378111.3206787,68,224831,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224831.0,19,T
1675378112.3202703,69,224832,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224832.0,19,T
1675378113.32072,70,224833,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224833.0,19,T
1675378114.3210406,71,224834,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224834.0,19,T
1675378115.3214886,72,224835,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224835.0,19,T
1675378116.3220322,73,224836,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224836.0,19,T
1675378117.3208725,74,224837,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224837.0,19,T
1675378118.321044,75,224838,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224838.0,19,T
1675378119.320189,76,224839,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224839.0,19,T
1675378120.3204308,77,224840,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224840.0,19,T
1675378121.318552,78,224841,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224841.0,19,T
1675378122.3194282,79,224842,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224842.0,19,T
1675378123.3196886,80,224843,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224843.0,19,T
1675378124.3192365,81,224844,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224844.0,19,T
1675378125.3193398,82,224845,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224845.0,19,T
1675378126.3195255,83,224846,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224846.0,19,T
1675378127.3196867,84,224847,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224847.0,19,T
1675378128.3198106,85,224848,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224848.0,19,T
1675378129.3196168,86,224849,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224849.0,19,T
1675378130.3197696,87,224850,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224850.0,19,T
1675378131.319757,88,224851,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224851.0,19,T
1675378132.3192334,89,224852,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224852.0,19,T
1675378133.319652,90,224853,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224853.0,19,T
1675378134.3202634,91,224854,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224854.0,19,T
1675378135.3194797,92,224855,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224855.0,19,T
1675378136.3188848,93,224856,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224856.0,19,T
1675378137.3194592,94,224857,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224857.0,19,T
1675378138.3195944,95,224858,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224858.0,19,T
1675378139.3195112,96,224859,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224859.0,19,T
1675378140.3196645,97,224900,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224900.0,19,T
1675378141.3194153,98,224901,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224901.0,19,T
1675378142.3196454,99,224902,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224902.0,19,T
1675378143.3193398,100,224903,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224903.0,19,T
1675378144.319571,101,224904,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224904.0,19,T
1675378145.319659,102,224905,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224905.0,19,T
1675378146.3214066,103,224906,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.0 M,1.2000000476837158,326283.25,4686070.5,224906.0,19,T
1675378147.3196821,104,224907,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.0 M,1.2000000476837158,326283.25,4686070.5,224907.0,19,T
1675378148.319682,105,224908,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.0 M,1.2000000476837158,326283.25,4686070.5,224908.0,19,T
1675378149.3194888,106,224909,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.0 M,1.2000000476837158,326283.25,4686070.5,224909.0,19,T
1675378150.3198562,107,224910,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.0 M,1.2000000476837158,326283.25,4686070.5,224910.0,19,T
1675378151.3200023,108,224911,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.0 M,1.2000000476837158,326283.25,4686070.5,224911.0,19,T
1675378152.3197095,109,224912,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.0 M,1.2000000476837158,326283.25,4686070.5,224912.0,19,T
1675378153.3197424,110,224913,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.0 M,1.2000000476837158,326283.25,4686070.5,224913.0,19,T
1675378154.3195143,111,224914,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.0 M,1.2000000476837158,326283.25,4686070.5,224914.0,19,T
1675378155.319775,112,224915,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.0 M,1.2000000476837158,326283.25,4686070.5,224915.0,19,T
1675378156.3197823,113,224916,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.0 M,1.2000000476837158,326283.25,4686070.5,224916.0,19,T
1675378157.3197076,114,224917,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.0 M,1.2000000476837158,326283.25,4686070.5,224917.0,19,T
1675378158.3203087,115,224918,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.0 M,1.2000000476837158,326283.25,4686070.5,224918.0,19,T
